id,appeal_id,text,modified_text,content_type,true_toxicity,correct_action,noisy_toxicity_score,confidence_level,follower_bucket,group,is_adversarial,user_id,day,violation_history,last_action,escalation_level,original_action_taken,should_reverse,label
1389,AP-10000,confession-every sunday around brunch time i take my cat to the mall and make people take pictures of us,c0nfess10n-every sund@y @r0und brunch t1me 1 t@ke my c@t t0 the m@ll @nd m@ke pe0ple t@ke p1ctures 0f us,personal,0,0,0.0,0.708147010303779,0,A,1,20,27,0,0,0,1,1,0
1392,AP-10001,hello jesus thanks for making a way!,hello jesus thanks for making a way!,general,0,0,0.0,0.6953511832920187,2,A,0,233,25,0,0,0,1,1,0
1475,AP-10002,last time muslims invaded europe vlad stuck poles up their asses and made a fucking forest be like vlad,l@st t1me musl1ms 1nv@ded eur0pe vl@d stuck p0les up the1r @sses @nd m@de @ fuck1ng f0rest be l1ke vl@d,sexual,1,2,0.7339721076099994,0.9337096949998582,1,A,1,221,1,0,0,0,2,0,1
1492,AP-10003,i don't like the sun so i wear a visor,i don't like the sun so i wear a visor,general,0,0,0.0,0.7370387711965349,2,A,0,87,4,0,0,0,1,1,0
1524,AP-10004,when you catch your goat with another man,when y0u c@tch y0ur g0@t w1th @n0ther m@n,humor,1,1,0.6846168670975674,0.5799273538440827,1,A,1,102,3,0,0,0,0,1,1
1526,AP-10005,put the money in a bag. now! that will be $0.15,put the money in a bag. now! that will be $0.15,general,0,0,0.0,0.5691840629106979,1,B,0,143,18,0,0,0,0,0,0
1569,AP-10006,when you can't decide to pre heat the oven or just throw the meal in right away,when y0u c@n't dec1de t0 pre he@t the 0ven 0r just thr0w the me@l 1n r1ght @w@y,humor,0,0,0.0,0.6130127414621621,1,A,1,343,20,0,0,0,0,0,0
1642,AP-10007,this would be racist if black people could read,th1s w0uld be r@c1st 1f bl@ck pe0ple c0uld re@d,hate_speech,1,1,0.7224216966622767,0.5033688963648724,0,A,1,429,25,0,0,0,0,1,1
1658,AP-10008,first rule of fight club.,f1rst rule 0f f1ght club.,general,0,0,0.0,0.6884838645303275,2,B,1,107,5,0,0,0,2,1,0
1845,AP-10009,when you consume too much trans fat,when y0u c0nsume t00 much tr@ns f@t,humor,0,0,0.0,0.7600013812267066,1,A,1,196,14,1,2,1,0,0,0
1896,AP-10010,terrorism is just part and parcel of living in a big city. sadiq khan london mayor tokyo: over 13 million people no islamic terrorism,terr0r1sm 1s just p@rt @nd p@rcel 0f l1v1ng 1n @ b1g c1ty. s@d1q kh@n l0nd0n m@y0r t0ky0: 0ver 13 m1ll10n pe0ple n0 1sl@m1c terr0r1sm,political,0,0,0.0,0.8119454662520489,0,B,1,154,14,0,0,0,1,1,0
